Cycle	Time [s]	CoP X [cm]	CoP Y [cm]	Back Left Force [kgf]	Back Right Force [kgf]	Front Left Force [kgf]	Front Right Force [kgf]	Time Stamp [mSecs]	Low Noise Accelerometer X [m/(sec^2)]	Low Noise Accelerometer X [m/(sec^2)]	Low Noise Accelerometer Z [m/(sec^2)]	VSenseBatt [mVolts]	Gyroscope X [deg/sec]	Gyroscope Y [deg/sec]	Gyroscope Z [deg/sec]	Magnetometer X [local flux]	Magnetometer Y [local flux]	Magnetometer Z [local flux]
2330	5.882615e+01	-1.334597e+00	-3.793644e+00	1.812401e-01	5.107951e-02	-1.288818e+00	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2331	5.885459e+01	-1.815710e+00	-4.521095e+00	4.027549e-02	5.107951e-02	-1.077371e+00	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2332	5.888338e+01	-1.385428e+00	-3.630779e+00	-1.711710e-01	2.656130e-01	-1.147854e+00	-5.657672e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2333	5.891040e+01	-1.667482e+00	-4.708295e+00	-3.020641e-02	-2.349655e-01	-1.147854e+00	2.409750e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2334	5.893902e+01	-5.392533e-01	-4.628337e+00	1.107578e-01	-9.194279e-02	-7.249599e-01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2335	5.896479e+01	-3.164285e-01	-4.184380e+00	3.222043e-01	-2.349655e-01	-1.006889e+00	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2336	5.898987e+01	-8.474773e-01	-4.303758e+00	1.107578e-01	5.107951e-02	-8.659245e-01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2337	5.901554e+01	-1.168835e+00	-3.797978e+00	-3.020641e-02	-1.634544e-01	-1.359300e+00	-3.457467e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2338	5.904065e+01	-1.314429e+00	-4.758258e+00	-2.416533e-01	-3.064763e-01	-1.006889e+00	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2339	5.906575e+01	-6.300354e-01	-4.144927e+00	2.517224e-01	-9.194279e-02	-1.006889e+00	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2340	5.909046e+01	-1.488135e+00	-4.555393e+00	4.027549e-02	-2.043164e-02	-1.006889e+00	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2341	5.911683e+01	-1.409490e+00	-4.929578e+00	-3.020641e-02	-2.043164e-02	-7.954420e-01	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2342	5.914641e+01	-4.197750e-01	-4.377099e+00	1.107578e-01	-9.194279e-02	-7.954420e-01	-2.724064e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2343	5.919429e+01	4.660118e+00	-8.619240e+00	-3.020641e-02	5.107951e-02	2.235294e+00	-3.457467e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2344	5.923197e+01	8.933718e+00	-1.331400e+01	-3.020641e-02	-2.349655e-01	3.926867e+00	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2345	5.931509e+01	-1.478862e+02	1.108394e+02	2.517224e-01	5.516576e-01	1.520402e+01	-4.924271e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2346	5.935210e+01	-7.425356e+01	5.800520e+01	-3.020641e-02	6.231687e-01	1.760042e+01	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2347	5.939674e+01	-6.068384e+01	4.305701e+01	-1.711710e-01	3.371241e-01	2.133598e+01	-7.124478e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2348	5.942837e+01	-4.529203e+01	3.256519e+01	-1.711710e-01	6.231687e-01	2.408478e+01	-2.724064e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2349	5.946111e+01	-3.763158e+01	2.627399e+01	3.222043e-01	7.661910e-01	2.683359e+01	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2350	5.949347e+01	-3.279510e+01	2.313167e+01	3.926866e-01	9.092134e-01	2.979384e+01	6.076760e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2351	5.952484e+01	-3.365332e+01	2.197911e+01	3.222043e-01	7.661910e-01	3.367037e+01	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2352	5.955726e+01	-3.119305e+01	2.070893e+01	2.517224e-01	7.661910e-01	3.656014e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2353	5.958530e+01	-3.117547e+01	2.048983e+01	3.926866e-01	6.231687e-01	3.719448e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2354	5.961719e+01	-3.036980e+01	2.022784e+01	-1.006891e-01	1.195258e+00	3.789930e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2355	5.965119e+01	-3.117732e+01	2.119801e+01	4.027549e-02	4.801468e-01	3.677158e+01	3.143152e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2356	5.967990e+01	-3.117732e+01	2.119801e+01	4.027549e-02	4.801468e-01	3.677158e+01	3.143152e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2357	5.970414e+01	-3.400538e+01	2.256086e+01	1.812401e-01	5.516576e-01	3.352940e+01	-2.724064e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2358	5.972816e+01	-3.542562e+01	2.394985e+01	4.027549e-02	4.086353e-01	3.190831e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2359	5.975226e+01	-3.635725e+01	2.486238e+01	-3.020641e-02	4.801468e-01	3.056915e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2360	5.977955e+01	-3.787144e+01	2.694503e+01	-3.826179e-01	4.086353e-01	2.908902e+01	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2361	5.980486e+01	-3.701199e+01	2.579846e+01	2.517224e-01	4.801468e-01	2.824323e+01	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2362	5.982940e+01	-3.977615e+01	2.779370e+01	-3.020641e-02	3.371241e-01	2.760889e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2363	5.985452e+01	-3.468914e+01	2.430227e+01	-3.020641e-02	2.656130e-01	3.148542e+01	3.143152e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2364	5.988173e+01	-3.543839e+01	2.351497e+01	1.107578e-01	4.801468e-01	3.240169e+01	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2365	5.990674e+01	-3.420895e+01	2.254371e+01	3.926866e-01	6.946799e-01	3.240169e+01	-2.724064e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2366	5.993202e+01	-3.494149e+01	2.368586e+01	1.107578e-01	3.371241e-01	3.219024e+01	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2367	5.995723e+01	-3.626761e+01	2.485374e+01	-2.416533e-01	-9.194279e-02	3.275410e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2368	5.998217e+01	-3.360081e+01	2.251023e+01	1.812401e-01	6.231687e-01	3.324747e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2369	6.000708e+01	-3.673133e+01	2.447087e+01	1.107578e-01	3.371241e-01	3.134445e+01	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2370	6.003245e+01	-3.415509e+01	2.430194e+01	-1.006891e-01	7.661910e-01	3.021674e+01	3.143152e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2371	6.005676e+01	-4.063609e+01	2.801468e+01	-3.121352e-01	-2.043164e-02	2.930047e+01	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2372	6.008157e+01	-4.081398e+01	2.941160e+01	-4.530998e-01	5.516576e-01	2.683359e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2373	6.010660e+01	-4.124819e+01	2.914174e+01	-3.020641e-02	4.801468e-01	2.563539e+01	-4.924271e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2374	6.013219e+01	-4.587220e+01	3.169880e+01	1.107578e-01	5.107951e-02	2.528298e+01	-3.457467e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2375	6.015752e+01	-4.441598e+01	3.184521e+01	-1.711710e-01	1.941018e-01	2.528298e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2376	6.018285e+01	-4.143476e+01	2.909312e+01	4.027549e-02	8.377022e-01	2.528298e+01	-2.724064e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2377	6.020817e+01	-3.836765e+01	2.615395e+01	-3.020641e-02	6.231687e-01	2.880709e+01	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2378	6.023533e+01	-3.616331e+01	2.474974e+01	-1.006891e-01	4.086353e-01	3.113301e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2379	6.026042e+01	-3.642507e+01	2.462763e+01	-1.711710e-01	-9.194279e-02	3.303603e+01	-2.724064e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2380	6.028571e+01	-3.407257e+01	2.315908e+01	-1.006891e-01	4.801468e-01	3.338844e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2381	6.031068e+01	-3.422184e+01	2.241060e+01	1.812401e-01	6.231687e-01	3.381133e+01	-4.924271e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2382	6.033636e+01	-3.454757e+01	2.323571e+01	2.517224e-01	1.941018e-01	3.289506e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2383	6.036127e+01	-3.458078e+01	2.360214e+01	4.027549e-02	3.371241e-01	3.247217e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
